,a,b,c,d,e,f,g,h,i,renzhen,weibo_num,gzl,fsl
0,新浪娱乐,:#粉丝嘉年华#恭喜鹿晗@M鹿M 获年度搜索之星、年度提及之星！恭喜鹿晗粉丝获粉丝嘉年华超级话题最佳主持人！以上全部根据微博后台真实数据给出，大数据男孩棒棒哒~虽然不能来到现场，但是鹿晗录制了VCR来感谢粉丝哦！[心],11月06日 15:06?来自微博 weibo.com,no,yes,赞[26751],转发[19227]</a>?,评论[4234]</a>?<,http://weibo.cn/entpaparazzi,认证：新浪娱乐为你带来最新鲜的娱乐资讯,微博[108801],关注[2589],粉丝[19689472]
1,想招君,:#联想招聘# #联想校招补招# 有时候想招君会偷偷后悔没好好学代码，有时候更后悔没去计算机学院门口蹲点捉男神，一句话，学好计算机走遍天下都不怕[挤眼] 补招岗位来喽~企业级大数据研发工程师~高大上的岗位虚位以待高大上的你~企业级大数据研发工程师?工作地点北京?岗位职责1.负责大数据平台的?全文,2分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/campusrecruitment,认证：联想中国校园招聘官方微博,微博[2286],关注[44],粉丝[23343]
2,clearshine,#疫苗# 中国孩子到底接种了多少剂脊灰疫苗？我说中国孩子平均接种了9剂脊灰疫苗，@火爸朱剑笛 认为有造谣之嫌。这当然不是造谣，我国2007年起在中国食品药品鉴定研究院网站上公示疫苗上市数据http://t.cn/R5rcmL6。2007～2012年我国脊灰疫苗的上市量达到了9.08亿剂（包括活疫苗、灭活疫苗和五联疫苗?全文,3分钟前?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/clearshine,阳光碎成细纹穿透百叶窗隙,微博[4849],关注[182],粉丝[2254]
3,平常-平淡-平静,:大数据推荐?我正在收听这首单曲:Paul Mauriat-L'Enfant Prodigue?L&#039;Enfant Prodigue,4分钟前?来自QQ音乐,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2436116690,朱学东说自在自我趣味自得其乐是真正的自媒体的核心价值,微博[12196],关注[625],粉丝[123]
4,E安全,:【关于举办“云计算与大数据背景下的安全挑战与对策” 研修班的通知】各相关单位和个人：根据人力资源和社会保障部“专业技术人才知识更新工程”文件精神（人社部发[  2016  ]  92号） http://t.cn/Rf9MSYE,5分钟前?来自E安全,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/eaqapp,E安全是一款面向信息安全行业的免费内容分享平台，E安全秉承“...,微博[1180],关注[142],粉丝[3738]
5,何春银微想,#网络名人微访谈# 我向 @何春银微想 提问：改革开放四十载，国富民强求发展；辩证统一看负面，留下许多污染源；污染是“病”求医治，还需扁鹊来去根；扁鹊本有三兄弟，大哥远瞩看全局；《十三五》规划接地气，大哥费心又劳力；中华扁鹊许许多，埋没民间苦挣脱；大哥、扁鹊已上阵，恳请二哥快“显灵”！,5分钟前?来自华为P9手机摄影再突破,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/hechunyin,认证：南京微博名人汇理事长、1831大数据创始人,微博[13839],关注[3824],粉丝[1104229]
6,海尔空调,:“数”说海尔舒适风空调之20 162。能像真人一样感知冷暖的智能仿生人是海尔舒适风空调诞生过程中不得不提的重要角色。全身162个神经元传感器，能够模拟20种人体新陈代谢，它所提供的体感大数据，正是海尔空调不吹“狂风”吹舒适风的秘密武器。#舒适，总在狂风之外#,6分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1996826833,认证：海尔空调官方微博,微博[12518],关注[1206],粉丝[1242470]
7,Sailuyar,:为什么一定要提大数据呢[微笑]莫名想哭,6分钟前?来自iPhone 6s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3268706593,你若盛开，清风自来。心若沉浮，浅笑安然。,微博[206],关注[39],粉丝[27]
8,aFocus灵狐,:【互联网思维的那点事】高利贷叫P2P了，乞讨的叫众筹了，算命改叫分析师了，八卦改叫自媒体了，统计改叫大数据了，忽悠的改叫互联网思维了，耳机的叫穿戴设备了，办公室出租叫孵化器了，看场收保护费叫平台战略了，捣乱叫颠覆式创新了，借钱给靠谱朋友叫天使投资了，借钱给不靠谱朋友的都叫风险投资了,8分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/tmgafocus,认证：天极传媒集团·aFocus数字营销机构官方微博,微博[2464],关注[183],粉丝[13182]
9,微报告,:【重磅！极光数据研究院史上最全app榜单：摩拜单车成最大黑马】[哆啦A梦吃惊]#大数据# 近日，极光发布了安卓市场最全面的app榜单《极光app风云榜—10月榜单 》，包含国内市场Top 300 市场渗透率、日活跃用户、新增用户等排名，细分品类排名覆盖购物、医疗、教育、理财、旅游等11大热门品类。其中，摩拜?全文,8分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/reportcenter,认证：微报告官方账号,微博[5877],关注[270],粉丝[184271]
